DRAQ5+2 & R3 & R2 & R1
Object Number	Diameter_Morphology(M07, Ch07)
4634	14.2815685016618
4638	12.3753516181004
4642	13.2854767482187
4658	12.1094326086455
4667	11.7535436827028
4671	12.7749312192852
4682	13.9202053169165
4694	11.2426747402445
4695	11.0137275213099
4698	15.1051984602556
4699	13.2854767482187
4703	11.4670517883284
4705	11.0201513932596
4714	11.8136030603802
4720	11.6264091597733
4733	11.147851499926
4735	12.6636492103748
4739	12.2257602805456
4747	11.6264091597733
4757	16.8083152676673
4760	10.7074591537237
4767	11.7052743055251
4772	14.7159950242632
4773	12.3581834919827
4792	11.915009238442
4793	15.7384856078529
4798	10.0388488130792
4800	12.674821377709
4834	11.2300779018459
4840	13.386306658104
4846	9.39048320404113
4860	14.6049657572345
4862	13.9405267953517
4874	11.5224633679836
4876	11.1287898989196
4877	15.0300477529672
4883	11.9268826935441
4884	12.4835348034505
4890	15.1519783754706
4899	11.7233986120789
4919	11.21746691763
4924	16.1337298823017
4926	11.8435185376532
4932	15.846039152717
4936	13.4968739008535
4949	14.4098338679497
4956	9.38294367395843
4986	11.8076108697535
4988	10.4938225349106
4990	9.20783075455502
4998	12.2431141008925
4999	13.4021578260706
5016	10.2895105273835
5023	12.7860061509007
5052	13.4916293411448
5056	12.2083817923286
5065	11.3491833714531
5076	11.3179613497908
5085	9.52517430318288
5104	12.1967823770803
5106	12.4948680194056
5112	13.2854767482187
5113	11.8375414903193
5116	11.4423382859186
5119	12.7138466513382
5122	15.9173377766721
5125	11.14150125646
5126	11.3304604826442
5129	11.0137275213099
5130	14.2666944460709
5138	12.4494732534653
5155	12.0390964903061
5156	10.6011790127999
5157	10.2550627891605
5163	10.3169859048049
5165	13.4916293411448
5171	12.2025834629622
5172	11.9268826935441
5175	12.0390964903061
5185	12.674821377709
5187	13.3333333333333
5193	11.8255783326494
5196	15.7789040994269
5198	11.6992266304609
5199	9.52517430318288
5209	11.6020351095681
5219	16.9800682455072
5222	18.7394697960693
5231	11.5531327418166
5257	12.2373322285035
5258	14.5710063157312
5275	14.2020601956345
5289	12.8246930960466
5291	12.2141773691053
5308	12.277748156225
5313	10.5073020812957
5325	13.097705670952
5342	11.5531327418166
5343	12.340991482511
5353	17.0008950266035
5363	10.1927634849096
5373	12.5175036684305
5374	16.1906546048083
5401	13.2267502223236
5418	14.0215181916635
5428	12.5231561878735
5438	14.5661485038557
5442	14.711185089497
5451	11.801615636633
5456	11.1668805632776
5459	14.7783817169292
5489	20.4963186931627
5506	11.3491833714531
5510	11.1605411471759
5514	12.0508476853832
5515	13.6377146599603
5517	15.5165824591046
5531	11.9919765580694
5537	14.3359746739236
5545	12.6971362213547
5551	12.1269528964795
5575	12.3295168250019
5577	11.0714081879397
5579	10.0740359129483
5581	15.4250923782047
5583	12.9017189723546
5584	15.7744182701679
5591	16.8251488375023
5614	14.9308384327784
5617	13.4601190700018
5618	11.6810648187902
5644	10.2826302119853
5646	9.71643240805332
5657	10.9233966548794
5668	11.650732218074
5675	12.6524671779863
5685	10.4261633992172
5694	10.5610482226537
5702	12.068453023748
5712	10.2757452897457
5719	13.4548601836632
5721	12.4210172773907
5731	12.674821377709
5734	12.460837448669
5753	7.37241084134546
5768	14.0568051888068
5773	13.359846251409
5774	10.3853563408755
5775	12.5795416877124
5783	10.5140353739325
5797	11.5776097454027
5804	14.6871117873436
5825	12.8246930960466
5833	11.5101727368933
5834	11.2426747402445
5861	10.4193733213891
5867	12.7749312192852
5872	12.1619177539418
5880	13.2481354427914
5888	12.8412375360746
5903	14.2319278631054
5923	11.2991867258335
5929	12.5061909651088
5951	11.2678261693079
5955	12.6188616281267
5957	10.0247393910494
5975	11.1795486110984
5983	12.9400599750746
5985	13.8590620990269
6000	11.9683470246512
6007	14.5126052538011
6011	12.8907434544408
6012	11.5163196920641
6022	15.6528149452823
6032	19.9610377740306
6044	12.6356755751291
6053	10.4803256514668
6055	9.33757865233082
6056	13.4758834155217
6060	12.6300734132155
6063	12.0860327170051
6073	11.6871218919579
6075	14.0517696145134
6084	14.3260980109022
6085	12.4835348034505
6087	11.3179613497908
6090	10.7536264230062
6100	13.2801487043917
6124	12.8357250921477
6139	10.3238433239102
6142	12.0860327170051
6144	14.7159950242632
6146	10.9944333852888
6153	15.231174497545
6179	12.6580594289458
6183	13.9151203102383
6189	14.9545193967992
6196	11.6689412402057
6222	11.6264091597733
6224	13.3067675899997
6249	13.848845317617
6250	14.821418674391
6255	9.93253961690214
6259	13.0544073518973
6268	13.2160446356061
6291	13.5282985624857
6292	11.6992266304609
6309	11.2048417398337
6316	10.9169158494113
6334	12.9564571009452
6335	13.2748185220761
6339	11.1541981281087
6344	14.9308384327784
6350	11.8076108697535
