R4 & DRAQ5+ & R3 & R2 & R1
Object Number	Diameter_Threshold(Morphology(M11, Ch11), Ch11, 80)
113	7.41070933719548
1707	7.14821354111927
2766	8.91891602082638
3031	10.8061474994187
3200	9.92541185163762
5370	6.27287039904146
5814	10.1649523458056
6043	7.59930715357903
7933	7.81962254941289
9410	8.49628368865157
10783	7.96311383081514
11315	6.11288014027282
11622	9.29960542200334
13335	11.6020351095681
14935	4.77371904169385
15031	6.95756015511917
15621	9.21551355168183
17200	7.5056006453459
17992	9.65798717159287
18272	11.4485216629092
19278	9.00577781039905
20360	5.96047372213108
20410	10.7140666576872
20859	10.4329490578589
20899	9.36028864611399
21450	10.6411584595683
22097	8.37885654992481
22157	11.4361515656578
22452	4.08681445270545
22833	5.7918604574339
23049	8.57917622415271
23292	10.1719122592166
23529	7.90960966055261
23691	12.3180314784709
23955	7.4393038202847
24245	7.15810726701849
24752	9.81787442240415
25014	10.5476373623581
25175	7.99858444659601
25667	6.87570365697108
25800	10.5073020812957
26071	7.25630262690053
26078	10.3921686448819
26242	8.43777439856816
26303	9.51030282759763
26361	6.73005953500092
26416	8.40415763383363
26499	10.0317965826246
26576	8.95850305966704
26593	9.81787442240415
26767	11.3054483980934
26872	9.91114094296032
26881	10.378539565385
27023	10.5945011040977
27203	10.7536264230062
27597	6.19339190801423
27883	8.76685516415176
27953	6.18195442473933
27977	5.49077589758835
28461	10.6809882624153
28602	10.8257772113276
28730	8.95059965886988
28785	7.04851251417066
28838	10.9622010280802
28862	9.21551355168183
29028	8.5046092993593
29058	6.51635212451075
29090	9.45058291001116
29182	10.7206700892279
29488	10.3443883060697
29590	9.21551355168183
29893	7.5525992301278
30148	8.91891602082638
30186	9.92541185163762
30380	6.67727393935178
30625	7.74688029349042
30708	6.37360089694115
30845	7.38200409308273
31021	7.02840259440339
31258	7.48671860123063
31531	7.00823497006287
31684	10.779918947394
32028	9.36028864611399
32044	9.59918609430175
32051	13.4548601836632
32077	9.51774146997666
32434	8.43777439856816
32467	9.02148100943964
32470	6.90651353640834
32945	8.45453265618724
33275	9.22318994914089
33345	5.00530504128003
33363	10.378539565385
33364	6.46182102252186
33507	11.7475208569511
33554	9.85385063097711
33854	7.0685652218696
33964	11.4361515656578
33976	9.40554413305167
34002	7.40115329281148
34014	7.08856120303892
34221	6.55965062159746
34393	10.3238433239102
34648	7.41070933719548
34700	11.286652959662
34762	12.9509936990152
34791	9.99646080328678
34845	11.3429458423359
34961	8.48794991157138
35045	10.4668113638963
35279	12.179362540944
35300	6.39577001047514
35342	7.9006570717634
35722	7.69187216361907
35805	6.35135440359652
35997	10.9686550769338
36065	7.76512974232075
36153	8.75877883340551
36265	6.8859889337108
36521	9.05280569052978
36666	12.2892711509304
36776	9.31481329057959
36997	11.8733586417342
37025	9.88253730194914
37030	8.14761198347482
37146	8.19956327699682
37226	9.83228070223291
37352	7.5525992301278
37406	7.80150057244647
37424	7.97199628068287
37430	10.1719122592166
37431	7.8737382300594
37435	8.37040586038191
37443	8.89507923160032
37743	4.48319974702125
37760	7.40115329281148
37840	10.0317965826246
37902	10.2826302119853
37952	6.90651353640834
38048	10.5409255338946
38148	8.13022111629557
38282	7.11844985789285
38292	8.33651743839762
38293	7.02840259440339
38316	10.378539565385
38352	9.28437264286338
38431	10.3238433239102
38516	8.07782387154153
38568	9.16159867623097
38734	8.6367276443096
38967	7.34355589367181
38986	8.84721298693746
39164	7.59930715357903
39208	9.87537344649376
39231	7.10850093638825
39257	8.47960794404096
39274	7.32425610762471
39306	7.42978455365971
39353	6.18195442473933
39448	11.1732163825467
39494	9.92541185163762
39760	10.7272694558666
39837	9.71643240805332
40020	7.71942522676164
40195	10.8453713942587
40251	6.38469507574098
40277	7.63646780136246
40298	7.61791013650342
40777	8.59565880654132
40785	8.15629351175916
40855	10.2757452897457
40887	9.00577781039905
40919	9.99646080328678
40974	9.03715692223413
41004	10.7404560244048
41043	7.44881092169781
41331	11.3740992815113
41383	7.48671860123063
41436	9.45806852141055
41516	12.426713685522
41582	9.00577781039905
41603	7.91855212769413
41620	9.17703524771051
41652	8.91891602082638
41979	6.41786254607383
41980	7.49616556852334
42193	10.0176772278685
42357	8.47125776186397
42785	5.63077178912978
42914	8.09532730240416
42986	8.75877883340551
43262	8.774924061547
43428	10.3580623216968
43512	6.84475509630398
43578	11.656805052585
43598	9.16159867623097
43822	9.92541185163762
43911	6.30662599915967
43952	9.67263158814893
43974	7.21718480755171
43997	8.94268927318061
44073	7.48671860123063
44267	7.59930715357903
44684	10.4125788157292
44981	9.20014154172789
45054	9.34515478230116
45166	8.20818985831693
45193	7.89169432687956
45278	8.40415763383363
45626	8.20818985831693
45712	8.55439280340581
45817	7.08856120303892
45821	10.0176772278685
46091	8.46289934072469
46188	8.92684747283471
