DRAQ5+2 & R3 & R2 & R1
Object Number	Diameter_Morphology(M07, Ch07)
3	8.64491799953497
10	8.68575392825481
16	8.03389845692213
17	7.85574109057158
30	8.24260589965244
31	11.9742587795312
33	9.10736463459121
34	8.57092304646152
47	10.1091005365899
55	8.69389809687783
56	10.3101239247276
63	8.84721298693746
69	12.2257602805456
73	8.37040586038191
79	9.23852360885318
80	9.97519925322511
83	8.56266191389471
84	7.21718480755171
96	7.92748450744063
102	10.0458960928612
108	9.19244589710079
123	8.46289934072469
133	7.63646780136246
134	8.04270273184568
135	10.4600476724863
147	6.97787424259753
153	7.01832602636228
154	8.95850305966704
155	8.64491799953497
157	9.14613605141061
159	7.85574109057158
163	9.5474380833877
171	10.7140666576872
180	10.3101239247276
187	8.66127547489905
194	9.02148100943964
196	9.93966227082352
204	8.83921007893425
212	8.33651743839762
217	10.5342094290179
225	9.28437264286338
226	9.69455673510464
227	9.73825894040485
228	10.0106100825601
230	8.21680738285126
232	10.0529384323821
237	6.7405670504312
245	8.774924061547
258	8.25976014484617
264	8.73450503476907
274	7.90960966055261
285	8.41257441875115
287	8.70203464343817
291	8.57092304646152
306	8.21680738285126
307	7.99858444659601
325	8.60388825678096
329	8.85520866230362
336	8.57092304646152
347	9.80344697240178
375	9.22318994914089
382	8.09532730240416
384	9.98229146830751
391	9.98229146830751
393	7.88272139125829
396	7.88272139125829
398	8.75877883340551
399	8.43777439856816
405	9.96810199209663
406	7.9006570717634
408	7.73773942860369
416	8.16496580927726
417	9.11513211117122
431	10.6345056558798
441	8.81515776202711
463	8.03389845692213
464	8.51292676765464
466	9.32240792151149
468	8.52953737226439
481	7.88272139125829
493	8.91891602082638
500	8.86319712460685
521	8.83921007893425
528	8.83921007893425
534	8.09532730240416
536	9.17703524771051
537	8.54611569183679
551	8.7910396381384
552	9.03715692223413
554	9.06842745485084
556	9.86820439041531
559	9.11513211117122
574	7.71942522676164
579	9.42809041582063
613	10.2481593465814
616	9.83228070223291
622	7.71025181267525
623	7.97199628068287
634	10.1510182030718
648	8.14761198347482
668	9.48795190873696
669	8.67760211610856
675	10.2963862451754
676	9.97519925322511
707	7.49616556852334
709	8.53783055591741
744	8.87915248788099
768	8.34500244562036
770	8.66944263887765
782	7.93640683385204
787	8.59565880654132
795	9.40554413305167
811	9.91827896401016
816	8.33651743839762
823	7.03846473641222
829	9.02932236772961
844	7.73773942860369
849	7.56196389489061
862	8.75069504872672
865	9.09959052763918
878	9.98229146830751
884	8.33651743839762
885	8.68575392825481
894	9.26147649791564
897	8.66944263887765
905	8.31952146263856
914	8.80712572595195
915	9.95389228851893
920	8.774924061547
933	9.34515478230116
937	8.02508452288409
948	10.116098876325
951	10.123092377939
972	11.1605411471759
979	7.66422004716408
987	8.97428898038545
998	7.67344849126218
1018	8.08658032275375
1021	8.85520866230362
1079	7.88272139125829
1097	10.4125788157292
1106	8.84721298693746
1130	8.75877883340551
1138	8.20818985831693
1157	8.19092761027546
1170	9.19244589710079
1176	8.53783055591741
1184	10.0599758420171
1199	8.53783055591741
1213	8.17362890541091
1223	10.7206700892279
1230	8.97428898038545
1233	9.5474380833877
1234	10.3717183095936
1237	10.4532796046975
1241	8.33651743839762
1244	7.93640683385204
1264	7.8737382300594
1269	9.66531215343584
1285	8.39573241103015
1290	9.09959052763918
1298	8.83119991863115
1303	9.33757865233082
1316	9.11513211117122
1330	11.8733586417342
1332	9.15387062873487
1338	9.5474380833877
1352	9.04498469063305
1354	9.14613605141061
1371	7.09853807103481
1389	9.83228070223291
1390	10.7995963333122
1405	11.7836116358574
1413	8.11279296952993
1421	9.02932236772961
1423	10.7864820645606
1450	10.9815517951767
1452	8.39573241103015
1453	8.65310060240754
1458	8.25118748021684
1487	9.72371336254679
1499	8.06905791793218
1501	8.39573241103015
1504	8.7910396381384
1509	8.82318248627607
1510	8.31952146263856
1513	9.36028864611399
1516	9.12289297431504
1517	8.88711942756174
1520	7.8286678069764
1523	9.81066334950882
1529	9.76728511190204
1541	7.77423840204147
1547	8.61210984323095
1559	7.81962254941289
1570	10.3238433239102
1581	8.97428898038545
1585	8.45453265618724
1590	9.55484781526235
1591	10.0388488130792
1594	7.01832602636228
1614	9.62863151957973
1619	9.19244589710079
1621	8.65310060240754
1624	8.57917622415271
1629	9.82508020276678
1657	7.12838489393192
1661	9.61392008009429
1666	10.8192379312314
1680	9.78176589837374
1681	9.39048320404113
1687	9.25383186062626
1688	8.31952146263856
1694	8.71016358929613
1706	9.98229146830751
1714	8.57917622415271
1747	9.9039977773888
1756	8.79908635802733
1758	9.73825894040485
1775	8.08658032275375
1789	9.93253961690214
1790	9.29960542200334
1810	8.85520866230362
1819	7.84672704160103
1826	8.59565880654132
1827	9.57704261361146
1835	7.44881092169781
1836	8.67760211610856
1845	8.49628368865157
1852	8.54611569183679
1857	9.02932236772961
1860	9.60655591196648
1890	8.24260589965244
1898	8.57092304646152
1904	9.16159867623097
1920	8.31101044101146
1922	8.23401537527609
1927	11.7173602915072
1944	9.08402235451325
1964	9.57704261361146
1968	9.65798717159287
1970	9.26147649791564
1972	8.31101044101146
1973	10.1788674137107
1974	8.13892119488575
1979	8.87117839333316
1988	10.2688557513984
1991	9.48048989271141
1993	7.10850093638825
1994	7.9006570717634
1995	8.80712572595195
1999	8.91891602082638
2004	9.40554413305167
2009	10.1579876636958
2011	7.85574109057158
2021	8.05149737934131
2026	8.81515776202711
2027	8.6367276443096
2032	8.71828495571246
2033	7.77423840204147
2035	10.7206700892279
2036	9.06061993945174
2040	9.64332051594514
2043	8.79908635802733
2047	7.93640683385204
2057	8.57917622415271
2078	10.234338491545
2088	8.21680738285126
2090	8.79908635802733
2094	8.52953737226439
2098	9.66531215343584
2104	9.20783075455502
2120	8.97428898038545
2126	10.473570687406
2132	7.5432229394487
2140	7.95422146195449
2157	9.68725386647117
2159	10.3443883060697
