DRAQ5+ & R3 & R2 & R1
Object Number	Diameter_AdaptiveErode(Object(M01, Ch01, Tight), Ch01, 97)
24	20.9200953449726
28	22.450700886075
38	20.5858979208084
42	18.644815843023
71	17.34296645594
79	22.6421748534639
87	17.8932906805887
98	17.9997640937596
113	20.0706466346762
133	19.0206056551953
142	24.6561634837076
159	17.6503750544066
241	18.6334250574105
256	19.4474267250936
274	18.9086529131344
276	19.2278401601886
293	18.2030693538069
297	19.3159743431857
345	20.1199516840342
355	20.2636549332211
367	21.9856480240522
369	21.1488841497249
389	19.2535876382215
403	20.1269854027192
432	19.581611027846
434	19.9503985064502
438	18.0703978409894
445	19.5381927681512
456	19.2094279754044
463	20.4236794143697
481	17.2201103652328
498	18.8223715350972
504	19.6609621436313
524	16.5238038422834
525	21.0146041625914
538	19.1540852272229
542	22.9217568174435
546	22.9341035766569
562	19.7650746038983
575	16.2778423897715
578	22.3844046408491
591	19.7328226249401
600	23.7467172834684
629	18.3000083146718
662	15.9128909717867
667	18.0508050803316
669	17.2365417719915
670	20.0812221934858
679	21.1622652862422
686	18.5191318605671
689	17.9446345183503
693	19.2278401601886
700	18.2419067552305
702	17.7104173246072
725	20.5687014447299
727	22.5356523386159
731	19.7758135748639
732	18.912395348186
756	20.8557204556785
760	19.7686549090819
771	19.1393001341457
783	20.3507808614364
788	24.3005479625658
789	24.3034601260328
814	16.041347847495
825	23.5882346193132
845	17.2570590293108
853	21.0482544710345
859	16.0589853985593
860	17.1211907702108
862	19.6717579505089
873	16.2168601594887
882	19.3342850633304
884	20.3577348274215
885	17.8338641109971
887	17.8457652562062
890	23.1766043540526
904	19.5200733236821
912	17.6583924861416
916	21.3785349154456
919	19.2499115355363
926	23.9898539535059
931	16.4336147657025
945	23.6002327048395
947	18.9011658200223
950	22.1683707021857
966	20.2950633554806
994	19.8864433689268
1007	17.6182688430958
1017	23.3833252750764
1028	19.0168845154443
1029	23.2467303973792
1046	23.353039903897
1061	24.5900571969885
1084	18.1641489129682
1092	15.8995430950032
1095	23.3348498142327
1104	22.8599229933956
1107	19.964582936615
1111	16.3169249007453
1131	18.3347808731758
1148	16.5708498394615
1177	17.7543192715314
1185	16.5665784513665
1189	18.3733398660776
1190	22.6577976903834
1191	21.158920795461
1206	16.6305340814963
1211	23.0387838792046
1222	19.5273231190383
1234	17.7901584632006
1253	23.6481641737749
1267	23.2893124330081
1273	15.4205036253505
1292	18.1485573659637
1305	16.3515864903127
1314	19.4292226335583
1316	18.5687452857268
1328	16.6942446994867
1371	22.8103352495474
1381	18.0586447354592
1383	22.5387925396119
1384	19.0577770911895
1398	19.2167949662699
1400	22.2034598784344
1401	18.0115556207981
1411	21.3221839230176
1413	22.8970433258183
1420	23.2406408804713
1422	17.2898359990699
1431	19.7005178459102
1455	23.1735505818074
1456	22.2480387901288
1457	19.7148820606119
1459	21.869457643852
1505	18.5954053788325
1525	18.7243573179691
1526	20.1586067661332
1533	20.6030800437569
1544	19.6753552364402
1560	18.7997982251147
1579	18.3038751944433
1586	20.2601621029041
1594	17.34296645594
1596	22.1651780225836
1605	22.1587912833579
1626	19.3854630675656
1640	18.9721739100536
1679	17.6343292555858
1685	16.7661574002595
1692	19.0948761667754
1707	20.0318218180554
1714	19.6105031291774
1718	18.0703978409894
1721	19.3489211631276
1724	19.1356020759267
1726	23.1276956119077
1730	23.2010200620125
1741	21.142190405563
1760	21.9082562390679
1764	18.3193345512485
1768	22.4790537084266
1784	16.0501690457682
1790	22.149207721481
1802	18.3077412574697
1811	19.2976462487812
1827	19.1946855112409
1837	15.9573032573487
1854	20.9538974276808
1863	19.6969251554735
1877	20.6030800437569
1886	19.6429559468476
1897	19.2278401601886
1900	18.7054495505313
1906	23.1674418297356
1908	20.3020364061435
1916	15.8683543857878
1917	15.612070021651
1918	16.2299470696155
1934	18.2147292691824
1938	18.6106225707235
1948	18.1758337960763
1951	18.027265659215
1954	17.2980205372794
1958	15.0958250814689
1974	18.3463570802893
1981	23.8596984217248
1984	17.7822004406762
1985	16.613503320161
1987	23.1674418297356
1993	19.0874621202265
2002	18.7507961614407
2013	20.5755817598395
2014	21.5368477343511
2031	20.4236794143697
2045	18.0076259696941
2049	18.3000083146718
2050	21.1890022081954
2054	20.8896267054351
2109	22.9957379355147
2116	17.9051523263598
2127	20.3751093588996
2136	23.835957422391
2147	20.1866730613345
2161	19.9787572961831
2174	20.3855269698192
2180	18.3270593395114
2188	17.2324353891406
2199	23.4709318648491
2200	18.0860567675335
2211	24.2859819072125
2212	21.6221165376306
2214	20.144558954834
2224	19.2976462487812
2243	18.4923618056796
2249	17.0258535353093
2254	17.4487420384999
2263	23.5191268475601
2285	19.2425572233154
2289	15.0864458788974
2293	18.0115556207981
2300	23.5612165879746
2303	23.5491986241282
2314	19.7471633409499
2315	16.4766235143775
2333	21.6613581607272
2335	18.6068194394749
2364	24.6446794758728
2367	20.1515840845872
2372	22.1875171321565
2378	15.2125772079505
2380	17.4406282310217
2383	19.8151400078701
2402	19.7543297949477
2406	17.0922313836736
2407	18.9982678839476
2413	17.897245436009
2428	19.6105031291774
2439	21.0952747247163
2442	17.746345177587
2456	19.8187112686016
2501	17.5981727160547
2504	20.4444598295274
2513	18.5763663594257
2515	21.4215268304585
2518	21.1522302274533
2520	19.9574919816989
2528	19.0354829399533
2533	20.09531428097
2535	18.3617806703023
2549	18.6182265026325
2555	18.6030155307283
2587	16.5280862847143
2590	20.3090070626257
2595	18.2030693538069
2603	19.0689143924758
2611	16.8209420243755
2618	21.3255028091648
2640	21.8791637428477
2647	24.2772380790597
2653	19.6573622237726
2654	18.6940957106079
2686	21.4413401784559
2691	20.6579668011324
2694	15.5165824591046
2698	20.6579668011324
2712	15.6075362419644
2720	19.7901231379337
2741	18.9161370428211
2757	17.7822004406762
2764	16.6432957158706
2766	19.6357488448083
2768	22.5607617083418
2774	15.8415723339806
2782	21.6972673014605
2783	17.8378320416528
2784	18.1563548130973
2787	20.123468850687
2791	19.7256483572516
2800	20.5170255366587
2813	22.2321280115864
2818	21.3686014207954
2824	20.4132812739854
2830	18.1836195466138
2835	18.8223715350972
2847	18.9348344251092
2856	20.6476866478204
2863	21.9276297929546
2865	18.354070495421
2875	23.8418948885243
2877	17.6543842253962
2878	18.6637850369037
2912	16.2081296823233
2936	21.8565094735968
2961	17.7064208408997
2968	16.4809182162657
2972	22.9032241987412
2975	23.6391844262805
3000	18.7016657031071
3011	21.5138330061315
3031	20.1410454710793
3036	17.9643430740086
3044	18.1368549097017
3048	21.9727683228741
3080	22.1396200111747
3088	24.4775559053552
3089	18.9796329918869
3147	16.9425155237279
3167	19.4728838630748
3168	18.6940957106079
3171	17.7782200935775
3200	16.6645433891669
3221	19.7471633409499
3225	20.7058733645919
3233	21.3387731917864
3234	17.7184075877363
3253	20.2985501802388
3260	23.2893124330081
3262	20.7775261025287
3268	24.7592798590062
3278	20.6785117756791
3344	20.3785824875976
3372	19.1319033028998
3395	19.6249332290911
3397	20.6545406518757
3398	21.5269872922924
3404	17.2447516042132
3406	21.9534346030522
3420	18.5725562134807
3430	18.019412352086
3432	16.181909989207
3440	19.7507468929875
3442	18.5687452857268
3443	16.3775345412669
3453	18.2612944817731
3458	16.6432957158706
3463	19.3159743431857
3468	18.4693851617195
3474	20.2217011512936
3477	19.99646111649
3482	21.4050016973731
3487	23.9573813620525
3489	20.2671471615853
3507	18.019412352086
3513	23.9750991369595
3516	22.8196411594672
3523	22.3685908595458
3525	18.2651695575688
3530	18.0311910301182
3555	21.5860823815522
3556	17.6303155240542
3558	19.9042292980423
3564	17.6583924861416
3565	18.4885343479535
3573	18.1914019649228
3607	19.8365579280203
3612	21.9534346030522
3613	15.9173377766721
3619	21.7916532194183
3627	21.1321458137827
3636	17.8457652562062
3640	16.8755487971363
3642	21.8273480070097
3665	15.7384856078529
3682	16.7745974498251
3695	19.6105031291774
3703	19.4765178808097
3707	22.4317790951988
3709	17.3674333852781
3714	17.0715160307902
3752	21.5335614220204
3756	21.9340838415986
3762	14.7640081861655
3797	15.7833886537591
3800	16.2081296823233
3804	20.3855269698192
3828	18.0468839756735
3829	17.5901278366783
3838	20.0847461423053
3856	18.1563548130973
3863	19.1133987011206
3866	17.6904258775259
3877	16.4120681263516
3919	17.5135171736961
3924	21.4907936311993
3925	18.2341458926137
3928	21.1689526826128
3929	20.5101255783211
3930	15.7564621820826
3933	22.1044294940061
3966	19.190998125651
3974	19.5128208347363
3996	16.5879243930273
4002	21.101983350971
4036	18.3424991563521
4039	21.1823211415913
4045	18.2729172438377
4059	17.0549256322834
4065	18.9460439975316
4069	21.8435536280757
4070	20.9674030026748
4085	20.0635931652493
4102	17.8100379626013
4107	19.3159743431857
4113	18.1914019649228
4116	21.2157054351847
4125	23.4014776845446
4174	20.2356954098207
4176	15.7519699618396
4178	18.4923618056796
4183	21.7005288223059
4204	20.2286994907145
4220	21.5401335452993
4245	22.1587912833579
4255	21.5729641291212
4266	22.3210822943518
4271	18.5725562134807
4277	21.2457064477236
4282	22.779288093128
4286	15.9706028595385
4310	20.7843372897637
4315	17.7742388551235
4326	16.5580323695745
4329	18.8861827294234
4333	21.9888667705776
4337	18.8561808316413
4340	16.5580323695745
4374	19.4219362194136
4376	19.0614902479887
4378	21.0482544710345
4402	21.3586633062726
4414	21.2556973753615
4433	16.5366478425455
4434	17.8378320416528
4447	24.9953994351532
4467	17.7742388551235
4471	18.3000083146718
4475	23.6661134470792
4486	20.8964013534826
4511	20.8047574721475
4519	19.8008485238559
4541	20.7092910213561
4558	16.9592158880819
4569	17.4892546122794
4571	19.9219993482721
4573	20.7229560119696
4579	18.7092326326917
4592	18.6030155307283
4595	18.1017021482857
4620	22.2861783131945
4622	16.8083152676673
4627	17.3307200381795
4648	18.6410196878695
4650	17.5780536141116
4669	19.5743813392009
4675	18.4770472177064
4679	18.1251448977784
4688	21.8435536280757
4692	16.489504264369
4706	20.5342652889119
4712	17.6543842253962
4731	20.1305013404529
4760	20.0635931652493
4762	17.4690100695381
4768	18.7583432722963
4791	21.1756379670626
4798	18.6713673183609
4803	17.5256358584633
4805	19.5055656491966
4809	19.4619777385211
4814	22.2321280115864
4823	22.8289432759591
4831	18.9833614337247
4840	22.149207721481
4857	21.510543177684
4858	17.2036632646652
4871	19.7936989123125
4885	19.6177195059181
4900	19.4910471762886
4907	20.6511139341994
4928	14.8261928470625
4954	18.8449178057494
4957	21.2556973753615
4965	20.9741525290053
4979	17.0008950266035
5002	20.5893354924982
5005	23.8448630671712
5011	20.8862385573785
5020	19.4728838630748
5021	17.9800943642543
5038	20.4236794143697
5043	23.4860034209292
5047	18.8298899582191
5056	16.613503320161
5060	19.4619777385211
5064	19.3233007133878
5074	18.9982678839476
5078	16.2124955085795
5083	22.2225760764467
5095	16.3818552205509
5106	17.9130557265798
5134	19.2829712305
5162	18.1991810552784
5163	17.0424722347613
5168	18.9684432691936
5188	18.8561808316413
5190	17.4325106470441
5192	17.4568520747447
