DRAQ5+2 & R3 & R2 & R1
Object Number	Diameter_AdaptiveErode(Object(M01, Ch01, Tight), Ch01, 97)
0	11.8733586417342
1	19.3745077329423
6	11.5592568518369
12	23.3075380618047
16	19.8900018271049
20	27.0618279799503
23	19.0243260670949
30	13.6013404276778
34	19.6537616445275
70	14.4882019991835
92	23.0449267359673
93	16.3861747605655
136	19.0985821107534
149	18.1212398789035
151	15.2404646322895
195	16.2604422325911
198	14.8786076405694
207	19.8722031641871
209	12.0332165893496
218	13.0272728238016
231	15.9217833396066
240	23.1001389382561
287	16.9675599062439
288	20.162117189628
295	14.0568051888068
302	23.4980537056733
303	10.0247393910494
311	13.4443362397896
312	15.6754052513727
322	19.8294211917116
331	16.4680307505522
337	18.3077412574697
342	16.0985992366248
344	11.5531327418166
345	10.8257772113276
351	20.3333855416823
358	25.786976419624
361	19.6032840959384
370	11.5776097454027
372	22.7264105864914
374	18.9086529131344
375	18.3077412574697
378	20.8658981157177
379	20.4755909089696
381	23.7496973571808
383	18.4079739022173
384	15.1145660260926
389	21.0146041625914
395	12.5682848248872
402	18.9759038174739
405	12.5570178707401
415	13.1408613255183
416	20.2006915859833
425	23.4105486110502
427	21.1923419516488
431	21.4907936311993
438	23.3409147525584
448	22.7014844363133
453	20.6202478494553
454	19.592450558722
458	15.5621257987851
459	19.7077012619542
463	17.9564622475385
464	18.7054495505313
467	21.3188645201917
473	18.0468839756735
475	19.1393001341457
490	24.3267448835902
496	13.2748185220761
497	20.0741724399972
503	16.0060144392886
512	23.6092272675893
517	22.0178143148799
535	16.9257986814494
537	13.4706306835289
548	11.6628747249841
550	15.1939571554302
552	18.9460439975316
555	22.2257605109513
566	15.4754788572074
586	20.6202478494553
589	11.8852737060889
591	15.1706499517172
600	19.0948761667754
604	22.0178143148799
608	21.7916532194183
618	17.1995490320906
627	20.2006915859833
628	14.9734372024613
630	18.6182265026325
635	11.2615435782596
643	18.0977920710939
649	15.0629723220017
670	17.8774629104142
674	23.2710725301189
712	19.6753552364402
717	18.5839843078121
728	26.1521488659023
731	11.4361515656578
737	14.1271147638113
738	15.0347556772027
749	15.9661708897405
753	16.3039078066105
761	15.6618549777687
779	19.2903101351351
803	25.729278142138
807	19.0503486063658
818	11.9387443401292
835	20.7331988444652
840	17.4811596085537
846	20.5204746457923
852	14.0869808339572
856	10.5274890395434
858	20.2985501802388
861	21.4347377640796
904	22.450700886075
906	21.4677295302014
910	11.7354659324245
924	19.879324541647
933	18.8561808316413
983	16.3861747605655
996	15.3515077373174
999	19.7650746038983
1005	18.7922677628758
1007	21.3089032092265
1008	21.0314360468779
1013	16.8755487971363
1016	20.6168154319784
1019	13.904944718157
1024	14.2468382159251
1028	22.3400978442673
1042	16.0104353796959
1043	18.9423082104506
1047	13.689510192608
1066	19.3233007133878
1070	19.7829696502111
1072	11.6689412402057
1074	17.5699995226857
1095	21.9631035903534
1101	19.4728838630748
1127	12.021448159552
1140	15.8147449272041
1141	12.6244687653188
1165	16.2821895236158
1181	16.4680307505522
1194	18.0977920710939
1195	12.5118485953303
1207	22.7232963130151
1210	17.2036632646652
1213	20.95051967358
1224	12.0332165893496
1231	21.9211738441049
1233	16.05457782735
1236	25.6797192939265
1237	14.2964270822385
1239	23.1460485011431
1244	20.1340166642098
1265	23.9455622289395
1270	20.7502589961582
1275	14.4833164141519
1277	17.6182688430958
1287	16.4937956123309
1295	13.9810811407965
1310	15.5712184818856
1315	13.04898496024
1317	13.2053303698517
1318	16.8629629292845
1322	14.9355776293532
1355	19.964582936615
1357	21.3454052892866
1360	23.3196805674796
1370	15.8683543857878
1377	20.5996447656932
1386	15.3007130168889
1389	17.1995490320906
1398	12.8962323810061
1402	21.8403134658346
1410	25.6466268584084
1412	13.2053303698517
1413	16.9425155237279
1415	22.3210822943518
1416	19.8401253334854
1418	16.8209420243755
1436	12.9291170048509
1458	16.2734940946786
1460	16.4163797166339
1463	13.7153346075489
1466	18.9721739100536
1468	12.879758583716
1479	20.5135758475991
1483	23.1766043540526
1496	18.4617199257962
1499	23.7407560138167
1500	9.16159867623097
1511	19.5562954244649
1513	18.8186111971244
1515	15.5803058584875
1521	20.1726447948305
1532	20.609948882102
1536	21.5236994744356
1540	18.3733398660776
1548	15.4663298887121
1549	23.9100697752974
1556	20.6579668011324
1564	14.1471390329176
1571	15.3561171077072
1581	17.932798988085
1588	11.75956342378
1611	16.6560475724592
1613	18.3193345512485
1616	15.9528675927023
1621	11.6992266304609
1634	19.0243260670949
1635	17.6222853184342
1680	24.5180003779594
1695	21.2956142131044
1703	18.5382296606926
1716	23.9780508266151
1726	22.7046017016127
1735	13.766838110621
1736	17.6944259738749
1739	16.489504264369
1741	19.8294211917116
1742	15.9883184532929
1743	17.3837255402541
1746	18.0899693812661
1755	24.4312516673329
1774	15.5757628329183
1786	15.8505047126627
1788	21.0415287145212
1792	16.8965044103223
1796	22.7886066814062
1797	18.4540515059739
1798	18.4655529414974
1809	16.8923153673893
1824	26.6931927516761
1828	14.5272275298062
1829	12.5457407980829
1831	15.5484768040829
1836	20.95051967358
1839	18.9684432691936
1843	22.5701705201952
1847	19.271957633468
1848	16.6942446994867
1886	21.0818510677892
1887	18.2574185835055
1888	20.7263708519058
1889	18.6258273302619
1902	16.089804590114
1906	17.7263942492137
1909	19.179931715432
1912	15.3422848420798
1918	16.5537576741709
1921	20.1901786050028
1931	14.3704895382271
1938	17.3102900887953
1942	15.2218786928966
1956	25.0180402001531
1959	19.4983077640526
1979	16.5836574027591
1985	19.7220602447422
1989	20.6990363581765
2005	12.5964081198967
2007	17.6182688430958
2022	15.9706028595385
2034	23.6122246937764
2035	13.9760182830745
2057	19.301313259978
2062	16.9132502067121
2070	19.3598909766309
2077	22.6265412295234
2078	23.9041492428864
2085	18.6751573046616
2095	23.2436858383462
2099	17.7104173246072
2101	11.5040224972146
2131	21.3586633062726
2132	11.8375414903193
2134	12.4721912892465
2146	12.9345896472144
2152	22.0691828637075
2153	20.9302417017303
2156	21.9050256475531
2162	15.1239277897812
2171	16.7661574002595
2173	20.144558954834
2176	20.5411571385065
2188	17.0756611118348
2223	18.4310271033637
2228	11.9919765580694
2238	18.8486728955158
2255	20.7502589961582
2263	21.7916532194183
2266	16.2299470696155
2267	11.9919765580694
2269	18.3077412574697
2273	19.1836212281554
2303	19.8900018271049
2313	14.6726488475606
2323	21.1354945414503
2327	21.6646250875478
2330	23.8923037767265
2362	25.9593018072226
2365	16.4937956123309
2367	16.4766235143775
2368	22.4570046067906
2371	23.6212146901782
2383	20.9099440647898
2386	24.6274434233092
2390	18.0860567675335
2397	18.5992108440067
2401	16.181909989207
2405	13.3651425236692
2409	21.4907936311993
2418	15.5028933673713
2427	26.5256355593208
2432	20.8896267054351
2440	21.5991926666245
2451	17.1954338151321
2456	18.5611210828655
2458	20.3646864188235
2471	15.1613170379137
2478	19.7471633409499
2487	11.4051676247737
2493	20.4686769830899
2509	21.8823981524659
2522	14.4490710647961
2528	18.2961406176372
