DRAQ5+2 & R3 & R2 & R1
Object Number	Diameter_AdaptiveErode(Object(M01, Ch01, Tight), Ch01, 97)
3	11.614228528708
10	12.5964081198967
16	12.6188616281267
17	13.9760182830745
30	11.9446707462227
31	13.8539546501345
33	10.5476373623581
34	11.5163196920641
47	12.9619182000712
55	12.1094326086455
56	13.39159246548
63	11.5408747725912
69	13.3386401328801
73	11.7836116358574
79	12.752752502525
80	13.4968739008535
83	9.93966227082352
84	9.65065662998899
96	11.1351473915255
102	14.3557076146802
108	12.7416486671566
123	11.0650140735236
133	11.5531327418166
134	11.0394005806686
135	13.6429030621492
147	13.4706306835289
153	15.0770608416726
154	12.0096681977227
155	12.6804037701302
157	11.9801676171864
159	11.9209474442622
163	13.5752991623048
171	14.4735402966599
180	11.6992266304609
187	11.9683470246512
194	13.7873856416239
196	12.1851719200204
204	10.9815517951767
212	11.8971768374708
217	13.1139056841581
225	12.9837396266309
226	13.5961361648404
227	12.9946365984412
228	13.864167666376
230	10.5073020812957
232	14.0366520527246
237	13.8896673525645
245	11.9742587795312
258	11.4608784087218
264	9.44309136471172
274	11.9446707462227
285	11.7896160243417
287	10.9298736175919
291	11.5347409030255
306	10.955743177135
307	12.6859837060527
325	10.8974503078941
329	11.4113711431137
336	11.9505942133591
347	14.9403153226141
375	13.3280244207863
382	12.0801756617947
384	13.689510192608
391	13.2374471510613
393	10.0247393910494
396	10.123092377939
398	11.7294338241193
399	12.068453023748
405	14.6436801147665
406	10.2619615876462
408	11.0905684125785
416	10.5744420748625
417	11.6324946923333
431	14.3606366131481
441	11.915009238442
463	10.9169158494113
464	12.6524671779863
466	12.398205472504
468	12.1735503895556
481	10.6876121317419
493	13.0435603144183
500	11.9387443401292
521	12.1967823770803
528	11.14150125646
534	11.21746691763
536	14.4490710647961
537	12.4721912892465
551	12.6804037701302
552	12.460837448669
554	12.4210172773907
556	12.3352554880191
559	11.9860735419312
574	10.4125788157292
579	13.8845711618399
613	14.1471390329176
616	13.4653759024889
622	10.0670083321049
623	11.2111561059251
634	14.1821134720329
648	10.7602055771383
668	13.5909299091776
669	10.9104311943399
675	12.9891892552556
676	12.9509936990152
707	10.6278486876808
709	12.5570178707401
744	12.8357250921477
768	11.21746691763
770	13.0164031741628
782	11.0969478024719
787	13.0652453839442
795	11.7354659324245
811	13.848845317617
816	11.3865367912759
823	11.2300779018459
829	12.4494732534653
844	10.8649302404347
849	12.6244687653188
862	11.4608784087218
865	12.4778643353844
878	12.2025834629622
884	11.2489678696152
885	12.6132519983193
894	12.7583007962409
897	10.378539565385
905	11.2678261693079
914	12.1444479085522
915	13.5700849123861
920	12.4153182556282
933	11.9801676171864
937	11.4855520183539
948	13.4495992410638
951	14.2418698327867
972	12.1677354618822
979	10.2204989470238
987	12.4892026969563
998	10.2550627891605
1018	10.8061474994187
1021	11.915009238442
1079	13.7719778674216
1097	12.8246930960466
1106	12.9619182000712
1130	12.6915611887165
1138	11.0008685239055
1157	12.6188616281267
1170	11.614228528708
1176	11.0008685239055
1184	13.4443362397896
1199	10.6078527175924
1213	13.0327042490215
1223	13.9151203102383
1230	11.4978689677573
1233	12.121115614362
1234	13.0000816590609
1237	14.7544180531716
1241	11.3242126407119
1244	11.8673966234614
1264	10.1510182030718
1269	12.2025834629622
1285	11.3491833714531
1290	12.2719826014782
1298	11.5470053837925
1303	11.997876669894
1316	12.3122847874754
